url	title	body	keywords
			
https://www.timesnewroman.ro/life-death/au-inceput-programarile-la-vaccinare-10-probleme-din-prima-zi/	Au început programările la vaccinare. 10 probleme din prima zi	• Pentru că programările se fac în ordinea alfabetică a județelor, Vâlcea și Vaslui s-au redenumit rapid Âlcea și Aslui;• Un român a reuşit să intre pe platformă, dar n-a mai reuşit să iasă şi e deja programat la 300 de vaccinuri;• Cel mai popular vaccin e Pfizer, urmat de Internal Server Error şi 404 Invalid Page;• STS avertizează: circulă deja un spam cu prinţul nigerian care a moştenit 3 milioane de doze de vaccin;• Turismul a înflorit! Sunt mai mulţi români în city break la Dărăbani decât la Paris;• Locuitorii din Flămânzi ne roagă să aducem şi ceva de mâncare când venim la vaccin;• Colonelul Gheorghiţă a fost în sfârşit crescut în grad. Acum e colonelul Gheorghe;• Mesajul lui Iohannis: ”Dragi români, dacă nu găsiți locuri la programare, înseamnă că au fost ocupate de pesediști!”;• Orice ar fi, nu vă programaţi la Mediaş, e o capcană;• Mânării la vaccin: s-au alocat mii de doze într-un județ care nu există, Sălaj.    	pentru, programările, ordinea, alfabetică, județelor, vâlcea, vaslui, redenumit, rapid, Âlcea, aslui•, român, reuşit, intre, platformă, iasă, programat, vaccinuri•, popular, vaccin, pfizer, urmat, internal, server, error
			
https://www.timesnewroman.ro/monden/canibalii-misogini-din-medias-sustin-ca-locul-femeii-e-in-cratita/	Canibalii misogini din Mediaş susţin că locul femeii e în cratiţă	Scandal în Mediaș, după ce un respectat canibal local, Euxenţiu Mogoş, a făcut o declarație considerată de unii misogină. Acesta nu a spus decât că locul femeii este în cratiță, afirmație cu care și alți canibali medieșeni s-au declarat de acord, dar care a și stârnit furia femeilor din localitate.   „Nu credeam că în secolul XXI mai pot exista asemenea manifestări de misoginism – și cu atât mai puțin în cadrul comunității noastre de antropofagi“, s-a plâns lidera femeilor canibale din Mediaș, Medeea Meseșan. „Suntem egalii bărbaților, așa că locul nostru e la masă împreună cu ei, nu în cratiță. Vrem să ținem furculița în mână, nu să fim la capătul ei.“Euxențiu Mogoș insistă însă că afirmația sa nu are nicio legătură cu misoginismul. „Dimpotrivă!“, susține canibalul. „Eu am adus un elogiu femeii, despre care am spus că este mai gustoasă decât bărbatul. Păcat că niște cuvinte așa frumoase spuse despre femei au fost răstălmăcite brutal și catalogate ca fiind misogine. Sincer vă spun, mi-a pierit pofta de mâncare când am auzit de ce sunt acuzat.“ 	scandal, mediaș, după, respectat, canibal, local, euxenţiu, mogoş, făcut, declarație, considerată, misogină, acesta, decât, locul, femeii, cratiță, afirmație, alți, canibali, medieșeni, declarat, acord, stârnit, furia
			
https://www.timesnewroman.ro/monden/nea-costel-lanseaza-un-volum-de-poezie-sub-pseudonimul-betiv-cel-naiv/	Nea Costel lansează un volum de poezie sub pseudonimul Bețiv cel Naiv	Încurajat de popularitatea neașteptată din ultima vreme, cunoscutul bețiv nea Costel, care se pune în fiecare seară în cap cu colegii de la birtul din strada Cuza a anunțat că va lansa un volum de pozele. Pentru operă, acesta și-a ales numele de Bețiv cel Naiv, să prindă și el trendul.   Este vorba de un volum de poezie cu rimă și meșteșug, în care duioșia retardată a autorului va fi transpusă în versuri la care nici măcar Flick Domnu’ Rimă n-ar putea visa. „Să se pișe grasele și corporatistele”, a explicat nea Costel motivația principală a volumului său.Acesta a precizat că va introduce și niște lirică subversivă, ceva cu oprimare și durere ascunsă, să prindă o recenzie pozitivă și în Scena9. „Am vreo câteva poezii în care pretind că sunt o femeie prizonieră în trupul unui drojdier care mă îneacă în fiecare seară. E și cu secvențe ego-porno, să juiseze eunucii și fanele lui Houellebecqe și-s fără rimă sau ritm, că e vorba doar de simțire nefiltrată prin convenții, lirică pură. E meta-conformism, sunteți obișnuiți cu asta histrioni incognito”. 	Încurajat, popularitatea, neașteptată, ultima, vreme, cunoscutul, bețiv, costel, fiecare, seară, colegii, birtul, strada, anunțat, lansa, volum, pozele, pentru, operă, acesta, și-a, numele, bețiv, prindă, trenduleste
			
https://www.timesnewroman.ro/life-death/duminica-verde-la-patriarhie-azi-in-cutia-milei-se-pot-baga-doar-dolari/	Duminica Verde la Patriarhie. Azi în cutia milei se pot băga doar dolari	BOR se alătură demersulului Ministerului Mediului, de reducere a amprentei de carbon și a anunțat că azi se la cutia milei se pot băga doar dolari. Demersul are logică, întrucât în bani absoluți, dolarii sunt mai valoroși decât leii, cu 10 dolari iei mai mult aur pentru turlă decât cu 10 lei.   Nici cei mai săraci dintre donatori nu au fost uitați, ei putând să-și pună în continuare bancnotele de 1 leu care sunt tot verzi. Tot pentru reducerea poluării, numeroși ierarhi de grad înalt nu au venit azi la slujbe cu limuzine de lux ci au preferat să vină transportați călare pe un enoriaș, cam cum a intrat Iisus în Ierusalim.În predica de azi Patriarhul a reiterat ideea că banul este ochiul dracului și dacă oamenii or să se gândească încontinuu la câți bani ia Biserica și să-i calculeze toată ziua nu vor avea parte decât de nefericire. Pentru a atinge pacea sufletească, omul cu credință în Dumnezeu ar trebui mai întâi să-și numere banii proprii, să vadă de ce n-are, dacă-i trebuie mai mulți, cum poate să-i obțină, după care dacă are suficienți să se intereseze și de ai altora. 	alătură, demersulului, ministerului, mediului, reducere, amprentei, carbon, anunțat, cutia, milei, băga, dolari, demersul, logică, întrucât, absoluți, dolarii, valoroși, decât, pentru, turlă, leinici, săraci, dintre, donatori
			
https://www.timesnewroman.ro/it-stiinta/alerta-de-vreme-severa-un-nor-tocmai-ne-a-pus-sa-scoatem-o-foaie-de-hartie/	Alertă de vreme severă! Un nor tocmai ne-a pus să scoatem o foaie de hârtie	ANM avertizează: urmează vreme severă în toată ţara! În această dimineaţă, un nor negru şi foarte încruntat a dat cu pumnul în masivul Bucegi şi a ordonat să scoatem o foaie de hârtie.   „La un moment dat s-a auzit aşa, ca un tunet: ‘Qu’est-ce que vous avez préparé pour aujourd’hui?’, de au clănţănit geamurile în patru judeţe”, povesteşte Aurelia Maftei, subvicedirector adjunct la ANM.„Eu ştiam încă de ieri că vine vreme severă, aveam aşa, o senzaţie de coji de nucă pe genunchi şi mă simţeam puţin tras de urechi”, spune Gigi Marcel, meteorolog amator.„Asta-i vreme severă? De ce, că se scutură un pic norii? Pe vremea mea te verifica la teme, şi dacă te prindea cu vreun exerciţiu nefăcut îţi dădea o grindină după ceafă de o ţineai minte tot anotimpul!”, îşi aminteşte nea Ilie, pensionar.„E vreme severă, dar e corectă. Credeţi-mă că ne vrea binele. La vară, când au să se facă prunele, o să-i mulţumim”, adaugă Eusebiu Dunăreanu, agricultor din Prahova. 	avertizează, urmează, vreme, severă, toată, ţara, această, dimineaţă, negru, foarte, încruntat, pumnul, masivul, bucegi, ordonat, scoatem, foaie, hârtiela, moment, auzit, tunet, quest-ce, préparé, aujourdhui, clănţănit
