Ministrul Educației, Sorin Cîmpeanu, a declarat la Digi24 că școala online nu a fost eficientă pentru că profesorii nu au fost pregătiți pentru asta, dar a adăugat că predarea online va continua acolo unde este adecvat, după ce va fi încheiată pandemia...	🥺
Ministrul Educației, Sorin Cîmpeanu, a spus la Digi24 că rezultatele simulărilor la Evaluarea Națională au fost surprinzătoare și că arată cât de bine s-au mobilizat elevii de clasa a opta pentru aceste examene, deși ar fi fost acuze legate de...	🥺
Aproape 140.000 de doze de vaccin AstraZeneca vor ajunge duminică la Institutul Național de Cercetare Dezvoltare Medico-Militară „Cantacuzino”. Transportul este asigurat de firma producătoare, iar dozele de vaccin vor fi aduse în București pe cale...	🥺
Liderul PNL Ludovic Orban a transmis un avertisment dur, sâmbătă, către miniștrii care lansează atacuri la adresa premierului Florin Cîțu. El a atras atenția că miniștrii care îl atacă pe prim-ministru trebuie să aibă bagajele făcute și demisiile scrise.	🥺
Premierul Florin Cîţu a declarat că decizia agenţiei Standard & Poor de modificare a perspectivei României de la „negativ” la „stabil” e garanţia că guvernul sau a procedat corect în această perioadă şi a spus că „eroii” din spatele acestei decizii sunt...	🥺
În ultimele 24 de ore au fost confirmate încă 3.474 de cazuri de infecție cu coronavirus, în timp ce numărul persoanelor aflate în stare gravă trece iar de 1.500.	🥺
Diagnosticarea unei patologii grave poate avea un impact emoțional foarte mare asupra oricărui pacient. Dorința acestuia de a obține o a doua opinie medicală este firească, total îndreptățită și de înțeles.	🥺
În timp ce efectele negative ale actualei pandemii sunt evidente, numeroşi germani au găsit şi o parte pozitivă a lockdown-ului impus, potrivit unui studiu amplu efectuat de Panelul Socio-Economic (SOEP), publicat vineri, relatează agenţia DPA. Astfel...	🥺
În România au fost confirmate, până acum, 1.027.039 infectări cu coronavirus. În total, în România au murit 26.072 de persoane infectate cu coronavirus. Primul caz de coronavirus confirmat pe teritoriul țării a fost anunțat la 26 februarie 2020...	🥺
Un șofer care mergea de la Timișoara spre Urseni a aflat că drumul său spre casă nu va mai exista. Situația este o consecință a faptului că prin avizele emise pentru centura Timișoara Sud, un drum de acces urban va fi blocat definitiv de centura de zece...	🥺
În 29 de localități din județul Gorj, liniștea publică este asigurată de polițiștii locali. Aceștia sunt funcționari publici aflați în subordinea primăriilor, iar salariile lor sunt plătite din bugetele locale. Bălești este una dintre comunele gorjene...	🥺
Ministrul Transporturilor, Cătălin Drulă, a anunţat demolarea a 63 de spaţii comerciale amplasate în incinta a 10 staţii de metrou din sectoarele 1, 2, 4 şi 6 ale Capitalei.	🥺
Decesele asociate Covid-19 la nivel global a depășit sâmbătă pragul de 3 milioane, potrivit noilor date înregistrate de Universitatea Johns Hopkins (JHU). Totodată, numărul contagierilor globale a ajuns la peste 140 de milioane, potrivit EFE, citată de...	🥺
Informații noi în cazul incidentului șocant de la Pitești, unde un om a murit chiar în momentul în care patru polițiști încercau să îl imobilizeze. Bărbatul de 63 de ani a intrat în stop cardio respirator după ce a fost trântit la pământ și nu a mai...	🥺
Florin Bărbăscu, tatăl vitreg al gimnastei Cătălina Ponor, a fost plasat sub control judiciar în urma unui incident în care a fost implicat pe 6 martie, când ar fi lovit doi polițiști locali din Constanța. Acesta a fost acuzat de ultraj. Ulterior...	🥺
Grupul de Comunicare Strategică a anunțat noi decese în România provocate de Covid-19. Bilanțul total a ajuns, miercuri, 29 aprilie, la 688 morți.	🥺
Partidul Social Democrat reacționează după acuzațiile făcute de fostul ministru al Sănătății Vlad Voiculescu, care a declarat vineri că „există diferenţe fundamentale între numerele raportate şi cele reale” ale deceselor COVID-19.	🥺
Perioada în care contribuabilii pot beneficia de ştergerea dobânzilor şi penalităţilor a fost prelungită cu 10 luni, până la 31 ianuarie 2022, a anunţat ministrul Finanţelor, Alexandru Nazare, pe pagina sa de Facebook. “Am prelungit cu 10 luni, până la...	🥺
Cartea de identitate electronică nu va fi obligatorie, însă fără acest document cetăţenii nu vor mai putea călători în străinătate, a afirmat joi preşedintele Autorităţii pentru Digitalizarea României (ADR), Octavian Oprea. De asememenea, documentul le...	🥺
Autoritățile române au anunțat duminică măsuri restrictive fără precedent după Revoluție, în încercarea de a evita răspândirea noului coronavirus. Astfel, au fost stabilită și o procedură de suspendare a cursurilor în unitățile de învățământ, în cazul...	🥺
